Date,Open,High,Low,Close,Volume,Adj Close
2015-04-16,12090,12190,12050,12190,1825,12190
2015-04-15,11830,11900,11830,11830,234,11830
2015-04-14,11780,11820,11700,11800,11894,11800
2015-04-13,12210,12300,12180,12290,2440,12290
2015-04-10,11600,11750,11600,11700,3299,11700
2015-04-09,11210,11340,11210,11230,1197,11230
2015-04-08,11060,11060,10990,10990,9040,10990
2015-04-07,10840,10960,10830,10960,316,10960
2015-04-06,10440,10480,10440,10470,3076,10470
2015-04-03,10710,10770,10710,10770,10,10770
2015-04-02,10540,10540,10540,10540,1000,10540
2015-04-01,10390,10390,10160,10280,303,10280
2015-03-31,10770,10790,10770,10790,153,10790
2015-03-30,10360,10580,10360,10560,1107,10560
2015-03-27,10360,10370,10310,10350,2946,10350
2015-03-26,10280,10300,10200,10230,3023,10230
2015-03-25,10790,10790,10700,10760,1012,10760
2015-03-24,10650,10650,10590,10640,4153,10640
2015-03-23,10560,10620,10560,10560,131,10560
2015-03-20,10390,10470,10390,10470,340,10470
2015-03-19,10420,10450,10390,10450,671,10450
2015-03-18,10040,10040,10030,10040,65,10040
2015-03-17,9980,9980,9950,9950,145,9950
2015-03-16,9760,9760,9740,9740,34,9740
