Date,Open,High,Low,Close,Volume,Adj Close,Ratio
2015-07-03,12800,13150,12630,13150,47154,13150,0.007742643970062968
2015-07-02,13390,13510,13360,13430,28432,13430,0.008338236549241484
2015-07-01,12640,12870,12630,12790,14601,12790,-0.009944064636420169
2015-06-30,13150,13150,12650,12870,53778,12870,-0.04991771804717504
2015-06-29,13690,13860,13110,13450,32785,13450,-0.07798408488063668
2015-06-26,15160,15160,14970,15040,9178,15040,0.03637660485021388
2015-06-25,15280,15310,15200,15290,5836,15290,0.043540328336902245
2015-06-24,15470,15600,15470,15590,9171,15590,0.09879336349924595
2015-06-23,15000,15240,14990,15210,29438,15210,0.1618497109826591
2015-06-22,14480,14500,14410,14500,3539,14500,0.14050235478806905
2015-06-19,14530,14570,14450,14560,28789,14560,0.10530085959885382
2015-06-18,14150,14200,13910,13970,2220,13970,0.13495072024260812
2015-06-17,14110,14200,14100,14100,1986,14100,0.0772413793103448
2015-06-16,13950,13990,13890,13950,17603,13950,0.008102633355840494
2015-06-15,14290,14410,14280,14410,8504,14410,0.005198180636777128
2015-06-12,14740,14770,14630,14710,9110,14710,0.030478955007256836
2015-06-11,14370,14480,14370,14420,9758,14420,0.052918287937743225
2015-06-10,13950,14120,13870,13910,2568,13910,0.04992435703479581
2015-06-09,13860,13860,13750,13770,8197,13770,0.024187975120939953
2015-06-08,14180,14190,14090,14190,2741,14190,-0.004578155657292249
2015-06-05,14000,14050,13960,14050,1836,14050,0.03589021815622795
2015-06-04,14450,14450,14260,14290,2957,14290,0.017675050985723972
2015-06-03,14140,14140,14040,14100,6214,14100,0.05270863836017581
2015-06-02,14450,14450,14320,14340,1784,14340,0.04494382022471921
2015-06-01,14220,14400,14220,14400,10810,14400,0.04294917680744459
2015-05-29,14280,14380,14230,14350,14394,14350,0.056358381502890076
2015-05-28,14350,14430,14270,14360,18260,14360,0.08715251690458303
2015-05-27,13920,13950,13850,13900,9326,13900,0.09495101733232847
2015-05-26,14170,14200,14110,14200,19108,14200,0.06187766714082499
2015-05-25,14210,14260,14150,14240,6706,14240,0.19373454245671873
2015-05-22,14120,14270,14120,14260,4486,14260,0.18961253091508645
2015-05-21,13630,13730,13630,13730,15157,13730,0.1824938067712636
2015-05-20,13690,13780,13650,13770,6675,13770,0.15527950310559002
2015-05-19,13400,13530,13400,13460,46036,13460,0.021011673151750898
2015-05-18,13010,13040,12910,13030,17266,13030,0.04320502749410826
2015-05-15,12870,12920,12860,12900,262,12900,0.10500807754442643
2015-05-14,12630,12630,12570,12570,61,12570,0.07692307692307687
2015-05-13,12570,12650,12550,12630,1419,12630,0.04069767441860472
2015-05-12,12420,12420,12350,12400,844,12400,0.0548340548340549
2015-05-11,12600,12710,12600,12710,327,12710,0.0779783393501805
2015-05-08,12140,12230,12110,12200,144,12200,0.11819595645412151
2015-05-07,11940,12010,11880,11880,382,11880,0.019828155981493678
2015-05-01,12020,12150,12020,12150,475,12150,0.1393700787401575
2015-04-30,12240,12280,12130,12210,609,12210,0.06735395189003435
2015-04-28,12370,12370,12300,12310,16324,12310,0.16599516518936341
2015-04-27,12510,12540,12510,12540,1912,12540,0.15243902439024382
2015-04-24,12510,12610,12510,12570,325,12570,0.18958502847843772
2015-04-23,12390,12430,12340,12340,6249,12340,0.17948717948717952
2015-04-22,12380,12380,12270,12270,1446,12270,0.17466561762391808
2015-04-21,12170,12350,12170,12340,528,12340,0.14113207547169804
2015-04-20,11860,12030,11860,11950,4383,11950,0.14135338345864645
2015-04-17,12290,12290,12080,12080,22966,12080,0.12886969042476593
2015-04-16,12090,12190,12050,12190,1825,12190,0.19999999999999996
2015-04-15,11830,11900,11830,11830,234,11830,0.1931464174454829
2015-04-14,11780,11820,11700,11800,11894,11800,-0.007315288953913646
2015-04-13,12210,12300,12180,12290,2440,12290,0.027259684361549574
2015-04-10,11600,11750,11600,11700,3299,11700,0.06756756756756754
2015-04-09,11210,11340,11210,11230,1197,11230,0.07486631016042788
2015-04-08,11060,11060,10990,10990,9040,10990,0.060085836909871126
2015-04-07,10840,10960,10830,10960,316,10960,0.03382949932341006
2015-04-06,10440,10480,10440,10470,3076,10470,0.03663500678426046
2015-04-03,10710,10770,10710,10770,10,10770,0.10906612133605997
2015-04-02,10540,10540,10540,10540,1000,10540,0.06475800954328559
2015-04-01,10390,10390,10160,10280,303,10280,0.06022501654533419
2015-03-31,10770,10790,10770,10790,153,10790,0.06409417920209282
2015-03-30,10360,10580,10360,10560,1107,10560,0.08752584424534793
2015-03-27,10360,10370,10310,10350,2946,10350,0.0769741207697412
2015-03-26,10280,10300,10200,10230,3023,10230,0.04303797468354431
2015-03-25,10790,10790,10700,10760,1012,10760,0.07318652849740936
2015-03-24,10650,10650,10590,10640,4153,10640,0.1659324522760648
2015-03-23,10560,10620,10560,10560,131,10560,0.19835943325876215
2015-03-20,10390,10470,10390,10470,340,10470,0.24270353302611358
2015-03-19,10420,10450,10390,10450,671,10450,0.17412935323383083
2015-03-18,10040,10040,10030,10040,65,10040,0.18253400143163923
2015-03-17,9980,9980,9950,9950,145,9950,-0.0025542784163474774
2015-03-16,9760,9760,9740,9740,34,9740,0.03267136450992969
